,id_descuento,ROP,Incremento Demanda Total (kg),Incremento Rentabilidad Total ($),Costo Promoción ($)
2119,74727,-6784322.728663725,-403088279.31880105,-413585882184.798,60962.0
2120,74728,,-469.5,-481727.1591570826,0.0
2121,74729,-3.2409004966415793,-334.5,-343211.36259434326,105900.0
2122,74730,-4.24160215868313,-339.5,-348341.5772818521,82125.0
2123,74731,,-75964187.08333333,-77942517659.9176,0.0
2124,74732,-10561312.585180147,-75964157.08333333,-77942486878.62949,7380.0
2125,74733,-4344613.936115181,-75964047.08333333,-77942374013.90636,17940.0
2126,74734,,-310.0,-318073.31062554976,0.0
2127,74735,,-310.0,-318073.31062554976,0.0
2128,74736,,-310.0,-318073.31062554976,0.0
2129,74737,,-50157397.22222222,-51463643183.33218,0.0
2130,74738,,-50157397.22222222,-51463643183.33218,0.0
2131,74739,,-50157397.22222222,-51463643183.33218,0.0
2132,74740,0.2583664307706625,288.4860985221676,168924.88140004379,653819.0
2133,74741,-2.6465108263015273,-591.5139014778324,-346364.7509030387,130876.0
2134,74742,,-208.50245320197044,-122089.94595992501,0.0
2135,74743,,-208.50245320197044,-122089.94595992501,0.0
2136,74744,0.48723532619067167,121.49754679802956,71143.66615373093,146015.0
2137,74745,-1.8441982310730447,-425.50735960591135,-249158.55781089264,135104.0
2138,74746,-1.2339504291782326,-335.50735960591135,-196458.48177989558,159211.0
2139,74747,0.26124266321535583,154.49264039408865,90464.15438886629,346284.0
2140,74748,-486020.95839871425,-101205464.5199261,-59261507499.47202,121932.0
2141,74749,-5269581.401761706,-101205814.5199261,-59261712444.21215,11246.0
2142,74750,-3940269.540463572,-101205714.5199261,-59261653888.57212,15040.0
2143,74751,-0.38848149740540733,-564.2622950819673,-330407.39835827297,850510.0
2144,74752,-78.85796502456826,-2414.2622950819673,-1413686.7389954352,17927.0
2145,74753,-0.41514359585600974,-140.1639344262295,-82073.88890073313,197700.0
2146,74754,-10.669272060389774,-400.1639344262295,-234318.55299028024,21962.0
2147,74755,-3.553201943874896,-320.1639344262295,-187474.04096272727,52762.0
2148,74756,-0.9165739070478126,-670.4918032786886,-392610.76678830234,428346.0
2149,74757,-32.4856016203108,-1280.4918032786886,-749800.1709983937,23081.0
2150,74758,-5.930550236959134,-1080.4918032786886,-632688.8909295113,106683.0
2151,74759,-728085.8068132807,-213652396.147541,-125105528013.1124,171828.0
2152,74760,,-213653006.147541,-125105885202.5166,0.0
2153,74761,-6343462.236876206,-213652796.147541,-125105762235.67253,19722.0
2154,74767,1.8860546782037986,26041.352112676057,15248680.403199939,8084962.0
2155,74768,-4.139478589023341,-4688.647887323943,-2745467.7793838405,663240.0
2156,74769,1.2464817767873773,9461.352112676057,5540155.285489588,4444634.0
2157,74770,0.0791170268437668,161.352112676057,94480.76228655787,1194190.0
2158,74771,0.9142661405449157,7060.591549295774,4134374.5719078067,4522069.0
2159,74772,-1.7897296257061177,-3379.408450704226,-1978834.2476878518,1105661.0
2160,74773,-0.05420837956942333,-409.09859154929563,-239550.29865357414,4419064.0
2161,74774,-0.3988462966589356,-1939.0985915492956,-1135451.5911805243,2846840.0
2162,74775,-0.833494453816057,-2739.0985915492956,-1603896.711456054,1924304.0
2163,74776,-451841.02200963366,-1148615088.3098593,-672578916492.0,1488530.0
2164,74777,-1586245.2710145304,-1148618108.3098593,-672580684872.329,424008.0
2165,74778,-2000963.6913586746,-1148616808.3098593,-672579923649.0085,336128.0
2166,74784,0.5234723992102801,782.173913043478,458006.94096504245,874940.0
2167,74785,,-3157.826086956522,-1849085.2763919407,0.0
2168,74786,-2.058531121210044,-1387.826086956522,-812650.4477823315,394772.0
2169,74787,,-3157.826086956522,-1849085.2763919407,0.0
2170,74788,-2.236829418840588,-1836.521739130435,-1075387.0587194765,480764.0
2171,74789,-171.0765899556961,-3856.521739130435,-2258210.9874151885,13200.0
2172,74790,-2.17401627297119,-1505.217391304348,-881389.6773879799,405420.0
2173,74791,-5.028159877340282,-1745.217391304348,-1021923.2134706388,203240.0
2174,74792,-23.29171279020618,-1995.217391304348,-1168312.313556742,50160.0
2175,74793,-3035801.2970711,-340619870.4347826,-199452145217.5713,65700.0
2176,74794,-4029336.0304331975,-340619850.4347826,-199452133506.44327,49500.0
2177,74795,-5184612.724942741,-340619710.4347826,-199452051528.54724,38470.0
2178,74812,-3.603706227979522,-22487.0,-10973000.771405634,3044921.0
2179,74813,-4.964643429260226,-19187.0,-9362696.92715613,1885875.0
2180,74814,-1.753711792541429,-19727.0,-9626201.192578776,5489044.0
2181,74815,-2.4075402726053987,-18907.0,-9226065.08582587,3832154.0
2182,74816,-11.436099153519745,-40487.33333333333,-19756638.9424478,1727568.0
2183,74817,-26.78274030175401,-42217.33333333333,-20600828.533524055,769183.0
2184,74818,-6.01854467736187,-26334.33333333333,-12850387.334065005,2135132.0
2185,74819,-0.22540478696716273,-7727.3333333333285,-3770713.5068072747,16728631.0
2186,74820,0.3404273344293805,8302.666666666672,4051459.4093501656,11901099.0
2187,74821,-3.8857492772537814,-6796.0,-3316249.97743019,853439.0
2188,74822,-12.835385138264757,-7546.0,-3682228.123850532,286881.0
2189,74823,0.4298511087107559,5114.0,2495482.987724836,5805459.0
2190,74824,-4.596558997970746,-20858.0,-10178096.237380652,2214286.0
2191,74825,-6.787444179750839,-21398.0,-10441600.502803298,1538370.0
2192,74826,0.1353591728707626,3372.0,1645437.746305857,12156086.0
2193,74827,-1879956.7256370261,-3915185868.333333,-1910496622644.9995,1016245.0
2194,74828,-8959840.192923177,-3915188208.333333,-1910497764496.8162,213229.0
2195,74829,-4502308.63571606,-3915184878.333333,-1910496139553.846,424337.0
2196,74846,0.44849946490239045,1219.363636363636,595013.9245983086,1326677.0
2197,74847,-3.0815151500891873,-1960.636363636364,-956733.4162239404,310475.0
2198,74848,-0.0447225549919385,-140.63636363636397,-68626.44757724469,1534493.0
2199,74849,-1.4860405717459897,-1920.636363636364,-937214.581748189,630679.0
2200,74850,-1.6774929112842931,-3210.060606060606,-1566416.0406706925,933784.0
2201,74851,-6.557445859789831,-4500.060606060606,-2195898.4525136803,334871.0
2202,74852,-1.2561246626340383,-1330.060606060606,-649030.8203103691,516693.0
