,Cod Cliente,Zona,Distrito,Comuna,Canal,SubCanal,TipoNeg,venta_total_clp,n_facturas,ticket_promedio,ticket_desv_std,dias_entre_compras,recencia
49,1005311,NORTE 2,LA SERENA,VICUÑA,COBERTURA,COBERTURA,AL,748142,6,124690.33333333333,90966.52266557553,21.0,18
50,1005733,SANTIAGO,SANTIAGO PONIENTE 1,MAIPU,COBERTURA,COBERTURA,AL,982744,18,54596.88888888889,11193.619395146447,3.4705882352941178,1
51,1005790,SUR 1,SAN FERNANDO,SAN VICENTE,COBERTURA,VOLUMEN COBERTURA,AL,1849589,20,92479.45,78006.14740989462,7.0,4
52,1005822,SUR 2,CONCEPCION SUR,LOTA,COBERTURA,COBERTURA,AL,408537,10,40853.7,28801.805510727583,12.25,11
53,1005945,SUR 1,RANCAGUA,RANCAGUA,COBERTURA,COBERTURA,AL,255568,7,36509.71428571428,18176.198206393306,12.25,11
54,1005968,SANTIAGO,SANTIAGO SUR 1,LA CISTERNA,COBERTURA,VOLUMEN COBERTURA,AL,2745293,18,152516.27777777778,35803.4445053505,3.4705882352941178,1
55,1006113,SUR 2,CONCEPCION SUR,CORONEL,COBERTURA,COBERTURA,AL,358303,8,44787.875,19843.23564080285,9.333333333333334,4
56,1006198,SANTIAGO,SANTIAGO NORTE 1,COLINA,COBERTURA,COBERTURA,AL,253311,6,42218.5,14600.408182650235,11.2,4
57,1006303,SANTIAGO,SANTIAGO NORTE 2,LO PRADO,COBERTURA,COBERTURA,AL,287791,7,41113.0,5545.761354403919,9.333333333333334,4
58,1006356,SUR 2,CONCEPCION NORTE,TALCAHUANO,COBERTURA,COBERTURA,AL,556292,9,61810.22222222222,35448.48048145991,11.2,4
59,1006455,SUR 1,RANCAGUA,RANCAGUA,COBERTURA,VOLUMEN COBERTURA,AL,1753519,17,103148.17647058824,88925.44547838606,7.0,4
60,1006496,SANTIAGO,SANTIAGO PONIENTE 2,BUIN,COBERTURA,COBERTURA,AL,447995,9,49777.22222222222,13428.557748114443,7.0,4
61,1006695,SUR 3,TEMUCO NORTE,TRAIGUEN,COBERTURA,COBERTURA,AL,271940,6,45323.333333333336,11508.05141918764,9.8,11
62,1006740,NORTE 2,VIÑA INTERIOR,PETORCA,COBERTURA,COBERTURA,AL,1099544,18,61085.77777777778,45510.137547526385,7.0,4
63,1006882,NORTE 2,LA SERENA,COQUIMBO,COBERTURA,COBERTURA,AL,166135,6,27689.166666666668,14465.003607558025,18.666666666666668,4
64,1006974,SUR 2,CONCEPCION SUR,ARAUCO,COBERTURA,COBERTURA,PA,732209,7,104601.28571428571,38954.52366420057,14.0,4
65,1007093,SUR 1,RANCAGUA,RANCAGUA,COBERTURA,COBERTURA,AL,907410,14,64815.0,38869.40996563909,8.0,4
66,1007312,SANTIAGO,SANTIAGO NORTE 1,RECOLETA,COBERTURA,COBERTURA,PA,1074023,9,119335.88888888889,27144.62167006774,7.0,4
