Cod Cliente,cluster,cluster_agrupado
34997,3,Queso gauda + básicos
35076,11,Básica vienesa-paté
35114,11,Básica vienesa-paté
35165,9,Mortadelas + básicos
35172,3,Queso gauda + básicos
35224,6,Charcutería colonial/salchichón
35232,2,Mortadelas + básicos
35233,6,Charcutería colonial/salchichón
35243,11,Básica vienesa-paté
35278,6,Charcutería colonial/salchichón
35282,13,Formato chico paté-salame-lácteos
35298,9,Mortadelas + básicos
35306,6,Charcutería colonial/salchichón
35322,6,Charcutería colonial/salchichón
35362,3,Queso gauda + básicos
35374,6,Charcutería colonial/salchichón
35550,1,Salame laminado + básicos
35591,10,Sin un comportamiento claro
35608,3,Queso gauda + básicos
35616,11,Básica vienesa-paté
35664,6,Charcutería colonial/salchichón
35669,6,Charcutería colonial/salchichón
35740,1,Salame laminado + básicos
35763,2,Mortadelas + básicos
35771,6,Charcutería colonial/salchichón
35792,6,Charcutería colonial/salchichón
35922,12,Básica vienesa-paté
35934,6,Charcutería colonial/salchichón
35969,6,Charcutería colonial/salchichón
36042,8,Charcutería colonial/salchichón
36150,8,Charcutería colonial/salchichón
36157,6,Charcutería colonial/salchichón
36252,3,Queso gauda + básicos
36278,9,Mortadelas + básicos
36284,6,Charcutería colonial/salchichón
36286,2,Mortadelas + básicos
36360,6,Charcutería colonial/salchichón
36423,6,Charcutería colonial/salchichón
36431,6,Charcutería colonial/salchichón
36469,6,Charcutería colonial/salchichón
36524,3,Queso gauda + básicos
36566,6,Charcutería colonial/salchichón
36587,1,Salame laminado + básicos
36803,5,Salame chico / comida rápida
36817,6,Charcutería colonial/salchichón
36825,6,Charcutería colonial/salchichón
36859,12,Básica vienesa-paté
36871,11,Básica vienesa-paté
36920,6,Charcutería colonial/salchichón
36982,6,Charcutería colonial/salchichón
37001,6,Charcutería colonial/salchichón
37044,11,Básica vienesa-paté
37082,6,Charcutería colonial/salchichón
37108,11,Básica vienesa-paté
37177,4,Queso gauda + básicos
37180,7,Fiambrería tradicional surtida
37207,1,Salame laminado + básicos
37272,1,Salame laminado + básicos
37317,8,Charcutería colonial/salchichón
37336,9,Mortadelas + básicos
37362,11,Básica vienesa-paté
37447,8,Charcutería colonial/salchichón
37479,6,Charcutería colonial/salchichón
37518,3,Queso gauda + básicos
37601,8,Charcutería colonial/salchichón
37783,11,Básica vienesa-paté
37850,11,Básica vienesa-paté
37852,1,Salame laminado + básicos
37890,3,Queso gauda + básicos
38051,2,Mortadelas + básicos
38192,7,Fiambrería tradicional surtida
38430,11,Básica vienesa-paté
38486,6,Charcutería colonial/salchichón
38599,9,Mortadelas + básicos
38628,1,Salame laminado + básicos
38630,9,Mortadelas + básicos
38651,8,Charcutería colonial/salchichón
38809,8,Charcutería colonial/salchichón
38894,6,Charcutería colonial/salchichón
39014,1,Salame laminado + básicos
39050,1,Salame laminado + básicos
39074,1,Salame laminado + básicos
39138,12,Básica vienesa-paté
39236,2,Mortadelas + básicos
39248,2,Mortadelas + básicos
39254,4,Queso gauda + básicos
39317,1,Salame laminado + básicos
39348,6,Charcutería colonial/salchichón
39420,6,Charcutería colonial/salchichón
39482,3,Queso gauda + básicos
39569,11,Básica vienesa-paté
39689,1,Salame laminado + básicos
39723,6,Charcutería colonial/salchichón
39808,6,Charcutería colonial/salchichón
39810,6,Charcutería colonial/salchichón
39824,6,Charcutería colonial/salchichón
39953,8,Charcutería colonial/salchichón
39982,11,Básica vienesa-paté
40028,10,Sin un comportamiento claro
40078,6,Charcutería colonial/salchichón
40114,6,Charcutería colonial/salchichón
40119,6,Charcutería colonial/salchichón
40235,12,Básica vienesa-paté
40275,1,Salame laminado + básicos
40276,6,Charcutería colonial/salchichón
